Data,Produto,Categoria,Preco,Quantidade,Estado,Pagamento
2024-01-05,Notebook Dell,Eletronicos,3500.00,1,SP,Cartao
2024-01-06,Mouse Logitech,Acessorios,150.00,2,RJ,Pix
2024-01-07,iPhone 13,Eletronicos,4200.00,1,MG,Cartao
2024-01-08,Teclado Mecanico,Acessorios,250.00,5,SP,Boleto
2024-01-09,Monitor LG,Eletronicos,1200.00,2,RS,Pix
2024-01-10,Cadeira Gamer,Moveis,900.00,1,SP,Cartao
2024-01-11,Mousepad,Acessorios,50.00,10,RJ,Pix
2024-01-12,Mesa Escritorio,Moveis,450.00,2,MG,Boleto
2024-01-15,Notebook Dell,Eletronicos,3500.00,1,SC,Cartao
2024-01-16,iPhone 14,Eletronicos,5100.00,1,SP,Pix
2024-01-05,Notebook Dell,Eletronicos,3500.00,1,SP,Cartao
2024-01-06,Mouse Logitech,Acessorios,150.00,2,RJ,Pix
2024-01-07,iPhone 13,Eletronicos,4200.00,1,MG,Cartao
2024-01-08,Teclado Mecanico,Acessorios,250.00,5,SP,Boleto
2024-01-09,Monitor LG,Eletronicos,1200.00,2,RS,Pix
2024-01-10,Cadeira Gamer,Moveis,900.00,1,SP,Cartao
2024-01-11,Mousepad,Acessorios,50.00,10,RJ,Pix
2024-01-12,Mesa Escritorio,Moveis,450.00,2,MG,Boleto
2024-01-15,Notebook Dell,Eletronicos,3500.00,1,SC,Cartao
2024-01-16,iPhone 14,Eletronicos,5100.00,1,SP,Pix
2024-02-02,Headset Gamer,Acessorios,280.00,1,PR,Pix
2024-02-05,Notebook Lenovo,Eletronicos,2750.00,1,BA,Cartao
2024-02-10,Estante Livros,Moveis,210.00,3,SP,Boleto
2024-02-12,Monitor LG,Eletronicos,1150.00,1,MG,Pix
2024-03-01,iPhone 13,Eletronicos,4100.00,1,PE,Cartao
2024-03-05,Mouse Logitech,Acessorios,145.00,4,RS,Pix
2024-03-15,Cadeira Gamer,Moveis,950.00,1,SC,Cartao
2024-03-20,Teclado Mecanico,Acessorios,260.00,2,RJ,Boleto
2024-04-02,Notebook Dell,Eletronicos,3450.00,1,SP,Pix
2024-04-10,Mesa Escritorio,Moveis,460.00,1,MG,Cartao
2024-04-12,Mousepad,Acessorios,45.00,5,BA,Pix
2024-05-01,iPhone 14,Eletronicos,5050.00,1,SP,Cartao
2024-05-05,Monitor LG,Eletronicos,1200.00,2,PR,Boleto
2024-05-15,Headset Gamer,Acessorios,290.00,1,RS,Pix